Year,Country Index,Country,Region Index,Region,Province / State,City,Latitude,Longitude,Multiple Attack,Success Attack,Suicide,Attack Type Index,Attack Type,Target Type Index,Target Type,Weapon Type Index,Weapon Type,Total No. of Fatalities,Total No. of Injured,Total No. of Hostages/Kidnapping Victims
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,2,3,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,15,55,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,6,Hostage Taking (Kidnapping),1,Business,5,Firearms,0,0,8
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Ramadi,33.420948,43.295662,0,1,0,6,Hostage Taking (Kidnapping),2,Government (General),5,Firearms,1,0,1
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,19,Transportation,6,Explosives,1,3,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,8,Educational Institution,6,Explosives,4,21,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Dura Mandali,33.744999,45.545616,0,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,24,,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Khanaqin,34.347343,45.383274,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,12,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,19,Transportation,5,Firearms,7,,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Muqdadiyah,33.953167,44.921906,0,1,1,3,Bombing/Explosion,4,Military,6,Explosives,1,9,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,0,3,Bombing/Explosion,3,Police,6,Explosives,1,2,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,1,6,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,19,Transportation,6,Explosives,8,18,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,6,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,6,Hostage Taking (Kidnapping),8,Educational Institution,5,Firearms,4,0,4
2007,95,Iraq,10,Middle East & North Africa,Babil,Hillah,32.469238,44.416637,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,57,150,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3,7,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,120,246,
2007,95,Iraq,10,Middle East & North Africa,Kirkuk,Kirkuk,35.45211,44.375465,0,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,2,17,
2007,95,Iraq,10,Middle East & North Africa,Kirkuk,Kirkuk,35.45211,44.375465,0,1,0,3,Bombing/Explosion,13,Other,6,Explosives,1,1,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,0,1,0,2,Armed Assault,4,Military,5,Firearms,10,9,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Amriyat al-Fallujah,33.163559,43.863106,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,1,8,
2007,95,Iraq,10,Middle East & North Africa,Babil,Mahmudiyah,33.057991,44.354839,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0,4,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,3,Bombing/Explosion,13,Other,6,Explosives,1,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),5,Firearms,0,1,1
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,0,2,Armed Assault,2,Government (General),5,Firearms,1,0,
2007,95,Iraq,10,Middle East & North Africa,Kirkuk,Kirkuk,35.45211,44.375465,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0,1,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Balad,34.010471,44.148235,0,1,0,2,Armed Assault,14,Private Citizens & Property,5,Firearms,14,0,
2007,95,Iraq,10,Middle East & North Africa,Wasit,Aziziyah,32.910708,45.06299,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,16,25,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms,11,2,13
